State_County,Days_With_AQI,Good_Days,Moderate_Days,Unhealthy_For_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous Days
"Missouri, Perry",245,224,21,0,0,0,0
"Missouri, Saint Charles",244,202,38,3,1,0,0
"Missouri, Saint Louis",365,264,98,3,0,0,0
"Missouri, Sainte Genevieve",244,229,15,0,0,0,0
"Missouri, St. Louis City",365,215,145,5,0,0,0
"Missouri, Stoddard",107,103,4,0,0,0,0
"Missouri, Taney",120,117,3,0,0,0,0
"Montana, Cascade",363,350,12,1,0,0,0
"Montana, Fergus",365,348,17,0,0,0,0
"Montana, Flathead",365,302,62,1,0,0,0
"Montana, Gallatin",365,337,28,0,0,0,0
"Montana, Lake",93,93,0,0,0,0,0
"Montana, Lewis and Clark",365,288,75,2,0,0,0
"Montana, Lincoln",364,222,141,1,0,0,0
"Montana, Missoula",365,224,137,3,1,0,0
"Montana, Phillips",365,356,9,0,0,0,0
"Montana, Powder River",361,329,31,1,0,0,0
"Montana, Powell",109,106,3,0,0,0,0
"Montana, Ravalli",364,329,35,0,0,0,0
"Montana, Richland",365,339,26,0,0,0,0
"Montana, Roosevelt",93,93,0,0,0,0,0
"Montana, Rosebud",364,351,13,0,0,0,0
"Montana, Sanders",365,330,35,0,0,0,0
"Montana, Sheridan",104,103,1,0,0,0,0
"Montana, Silver Bow",363,319,44,0,0,0,0
"Montana, Yellowstone",292,287,4,0,1,0,0
"Nebraska, Cass",348,348,0,0,0,0,0
"Nebraska, Douglas",365,318,47,0,0,0,0
"Nebraska, Hall",97,92,5,0,0,0,0
"Nebraska, Knox",355,342,13,0,0,0,0
"Nebraska, Lancaster",288,268,20,0,0,0,0
"Nebraska, Sarpy",350,298,52,0,0,0,0
"Nebraska, Scotts Bluff",113,110,3,0,0,0,0
"Nebraska, Thomas",109,106,3,0,0,0,0
"Nebraska, Washington",116,107,9,0,0,0,0
"Nevada, Carson City",365,308,57,0,0,0,0
"Nevada, Churchill",353,323,30,0,0,0,0
"Nevada, Clark",365,154,206,5,0,0,0
"Nevada, Douglas",356,346,10,0,0,0,0
"Nevada, Elko",365,363,2,0,0,0,0
"Nevada, Lyon",356,344,12,0,0,0,0
"Nevada, Nye",365,352,12,1,0,0,0
"Nevada, Washoe",365,244,121,0,0,0,0
"Nevada, White Pine",362,294,67,1,0,0,0
"New Hampshire, Belknap",316,308,8,0,0,0,0
"New Hampshire, Cheshire",365,348,17,0,0,0,0
"New Hampshire, Coos",324,314,10,0,0,0,0
"New Hampshire, Grafton",365,352,13,0,0,0,0
