State_County,State,County,Levels_Smokers,Levels_COPD
"Georgia, Thomas",Georgia,Thomas,20.4,9.3
"Georgia, Richmond",Georgia,Richmond,21.0,8.4
"Idaho, Owyhee",Idaho,Owyhee,18.1,7.7
"Georgia, Berrien",Georgia,Berrien,25.6,11.3
"Georgia, Long",Georgia,Long,22.8,7.8
"Georgia, Heard",Georgia,Heard,23.2,10.2
"Georgia, Rockdale",Georgia,Rockdale,18.1,7.1
"Georgia, Fannin",Georgia,Fannin,18.8,10.6
"Florida, Washington",Florida,Washington,25.4,12.4
"Connecticut, Middlesex",Connecticut,Middlesex,12.5,5.7
"Georgia, Fulton",Georgia,Fulton,14.2,5.2
"Georgia, Carroll",Georgia,Carroll,21.4,8.1
"Georgia, Lee",Georgia,Lee,19.0,7.1
"Georgia, Seminole",Georgia,Seminole,21.7,11.0
"Idaho, Lewis",Idaho,Lewis,18.6,9.9
"Connecticut, Tolland",Connecticut,Tolland,12.4,5.1
"Florida, Miami-Dade",Florida,Miami-Dade,13.2,6.0
"Georgia, Lincoln",Georgia,Lincoln,21.4,11.0
"Florida, Dixie",Florida,Dixie,26.2,14.2
"Georgia, Gilmer",Georgia,Gilmer,20.1,10.5
"Florida, Wakulla",Florida,Wakulla,21.0,9.2
"Idaho, Caribou",Idaho,Caribou,18.0,7.0
"Georgia, Clinch",Georgia,Clinch,29.5,13.9
"Florida, Hernando",Florida,Hernando,19.1,10.7
"Georgia, Worth",Georgia,Worth,22.5,10.5
"Georgia, Coffee",Georgia,Coffee,24.5,9.5
"Georgia, Schley",Georgia,Schley,20.8,9.3
"Georgia, Peach",Georgia,Peach,20.5,8.5
"Georgia, Grady",Georgia,Grady,21.9,10.2
"Georgia, Greene",Georgia,Greene,18.8,10.6
"Colorado, Washington",Colorado,Washington,17.2,7.3
"Colorado, Routt",Colorado,Routt,13.6,5.0
"Florida, Hardee",Florida,Hardee,21.9,10.4
"Florida, Taylor",Florida,Taylor,26.5,12.4
"Idaho, Bonner",Idaho,Bonner,17.1,8.4
"Florida, Nassau",Florida,Nassau,17.8,9.0
"Georgia, Jones",Georgia,Jones,20.4,8.9
"Georgia, Chattooga",Georgia,Chattooga,26.5,11.7
"Florida, Hendry",Florida,Hendry,21.5,9.0
"Delaware, Kent",Delaware,Kent,18.1,8.6
"Florida, Lee",Florida,Lee,16.0,9.0
"Florida, Union",Florida,Union,27.0,11.0
"Idaho, Minidoka",Idaho,Minidoka,16.5,6.5
"Georgia, Colquitt",Georgia,Colquitt,23.0,10.0
"Georgia, Twiggs",Georgia,Twiggs,23.5,11.5
"Georgia, Marion",Georgia,Marion,22.5,10.8
"Colorado, Yuma",Colorado,Yuma,16.4,6.6
"Florida, Clay",Florida,Clay,19.6,8.2
"Georgia, Quitman",Georgia,Quitman,23.5,14.2
"Idaho, Gooding",Idaho,Gooding,16.8,6.9
"Idaho, Jerome",Idaho,Jerome,18.0,6.5
"Connecticut, Litchfield",Connecticut,Litchfield,13.3,6.2
"Georgia, Hancock",Georgia,Hancock,25.8,11.8
"Georgia, Appling",Georgia,Appling,24.6,11.3
"Georgia, Toombs",Georgia,Toombs,22.5,10.1
"Florida, Gulf",Florida,Gulf,21.2,11.6
"Georgia, Columbia",Georgia,Columbia,16.0,5.8
"Florida, Walton",Florida,Walton,20.2,9.9
"Florida, St. Lucie",Florida,St. Lucie,17.0,9.3
