State_County,State,County,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days
"Georgia, Dawson",Georgia,Dawson,478.0,425.0,51.0,2.0,0.0,0.0,0.0
"Georgia, DeKalb",Georgia,DeKalb,730.0,427.0,289.0,13.0,1.0,0.0,0.0
"Georgia, Dougherty",Georgia,Dougherty,681.0,393.0,282.0,6.0,0.0,0.0,0.0
"Georgia, Douglas",Georgia,Douglas,490.0,404.0,75.0,11.0,0.0,0.0,0.0
"Georgia, Floyd",Georgia,Floyd,721.0,394.0,325.0,2.0,0.0,0.0,0.0
"Georgia, Fulton",Georgia,Fulton,730.0,340.0,372.0,14.0,4.0,0.0,0.0
"Georgia, Glynn",Georgia,Glynn,554.0,503.0,49.0,2.0,0.0,0.0,0.0
"Georgia, Gwinnett",Georgia,Gwinnett,720.0,436.0,278.0,6.0,0.0,0.0,0.0
"Georgia, Hall",Georgia,Hall,666.0,442.0,224.0,0.0,0.0,0.0,0.0
"Georgia, Henry",Georgia,Henry,728.0,524.0,190.0,14.0,0.0,0.0,0.0
"Georgia, Houston",Georgia,Houston,662.0,392.0,267.0,2.0,1.0,0.0,0.0
"Georgia, Lowndes",Georgia,Lowndes,638.0,420.0,218.0,0.0,0.0,0.0,0.0
"Georgia, Murray",Georgia,Murray,550.0,463.0,85.0,2.0,0.0,0.0,0.0
"Georgia, Muscogee",Georgia,Muscogee,729.0,512.0,216.0,1.0,0.0,0.0,0.0
"Georgia, Pike",Georgia,Pike,713.0,624.0,86.0,3.0,0.0,0.0,0.0
"Georgia, Richmond",Georgia,Richmond,722.0,456.0,263.0,2.0,1.0,0.0,0.0
"Georgia, Rockdale",Georgia,Rockdale,593.0,487.0,98.0,7.0,1.0,0.0,0.0
"Georgia, Sumter",Georgia,Sumter,470.0,431.0,39.0,0.0,0.0,0.0,0.0
"Georgia, Walker",Georgia,Walker,684.0,449.0,234.0,0.0,1.0,0.0,0.0
"Georgia, Washington",Georgia,Washington,326.0,256.0,68.0,2.0,0.0,0.0,0.0
"Hawaii, Hawaii",Hawaii,Hawaii,730.0,425.0,281.0,20.0,4.0,0.0,0.0
"Hawaii, Honolulu",Hawaii,Honolulu,730.0,709.0,20.0,0.0,1.0,0.0,0.0
"Hawaii, Kauai",Hawaii,Kauai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hawaii, Maui",Hawaii,Maui,720.0,694.0,22.0,3.0,1.0,0.0,0.0
"Idaho, Ada",Idaho,Ada,730.0,513.0,210.0,7.0,0.0,0.0,0.0
"Idaho, Bannock",Idaho,Bannock,727.0,680.0,44.0,3.0,0.0,0.0,0.0
"Idaho, Benewah",Idaho,Benewah,728.0,528.0,181.0,17.0,2.0,0.0,0.0
"Idaho, Blaine",Idaho,Blaine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Idaho, Boise",Idaho,Boise,691.0,593.0,95.0,2.0,1.0,0.0,0.0
"Idaho, Bonner",Idaho,Bonner,721.0,668.0,52.0,1.0,0.0,0.0,0.0
"Idaho, Bonneville",Idaho,Bonneville,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Idaho, Butte",Idaho,Butte,725.0,686.0,39.0,0.0,0.0,0.0,0.0
"Idaho, Canyon",Idaho,Canyon,654.0,579.0,75.0,0.0,0.0,0.0,0.0
"Idaho, Custer",Idaho,Custer,201.0,201.0,0.0,0.0,0.0,0.0,0.0
"Idaho, Franklin",Idaho,Franklin,469.0,420.0,42.0,7.0,0.0,0.0,0.0
"Idaho, Idaho",Idaho,Idaho,703.0,633.0,70.0,0.0,0.0,0.0,0.0
"Idaho, Jerome",Idaho,Jerome,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Idaho, Kootenai",Idaho,Kootenai,614.0,552.0,62.0,0.0,0.0,0.0,0.0
"Idaho, Latah",Idaho,Latah,672.0,667.0,5.0,0.0,0.0,0.0,0.0
"Idaho, Lemhi",Idaho,Lemhi,714.0,542.0,162.0,10.0,0.0,0.0,0.0
"Idaho, Nez Perce",Idaho,Nez Perce,692.0,629.0,63.0,0.0,0.0,0.0,0.0
"Idaho, Shoshone",Idaho,Shoshone,730.0,443.0,271.0,15.0,1.0,0.0,0.0
"Idaho, Twin Falls",Idaho,Twin Falls,723.0,691.0,31.0,1.0,0.0,0.0,0.0
"Idaho, Valley",Idaho,Valley,685.0,594.0,91.0,0.0,0.0,0.0,0.0
"Illinois, Adams",Illinois,Adams,604.0,544.0,60.0,0.0,0.0,0.0,0.0
"Illinois, Champaign",Illinois,Champaign,730.0,577.0,153.0,0.0,0.0,0.0,0.0
"Illinois, Clark",Illinois,Clark,532.0,497.0,35.0,0.0,0.0,0.0,0.0
"Illinois, Cook",Illinois,Cook,730.0,249.0,453.0,26.0,1.0,1.0,0.0
"Illinois, DuPage",Illinois,DuPage,717.0,448.0,264.0,4.0,1.0,0.0,0.0
"Illinois, Effingham",Illinois,Effingham,485.0,430.0,54.0,1.0,0.0,0.0,0.0
"Illinois, Hamilton",Illinois,Hamilton,591.0,465.0,123.0,3.0,0.0,0.0,0.0
